COD_DANE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,FECHA1erFIS
18753,18,CAQUETÁ,753,SAN VICENTE DEL CAGUÁN,04/22/2020
18756,18,CAQUETÁ,756,SOLANO,07/13/2020
18785,18,CAQUETÁ,785,SOLITA,06/17/2020
18860,18,CAQUETÁ,860,VALPARAÍSO,07/08/2020
13001,13,CARTAGENA D.T. Y C.,001,CARTAGENA DE INDIAS,03/01/2020
85001,85,CASANARE,001,YOPAL,03/17/2020
85010,85,CASANARE,010,AGUAZUL,06/09/2020
85125,85,CASANARE,125,HATO COROZAL,07/19/2020
85139,85,CASANARE,139,MANÍ,06/08/2020
85162,85,CASANARE,162,MONTERREY,07/06/2020
85230,85,CASANARE,230,OROCUÉ,06/23/2020
85250,85,CASANARE,250,PAZ DE ARIPORO,04/20/2020
85263,85,CASANARE,263,PORE,06/15/2020
85279,85,CASANARE,279,RECETOR,08/20/2020
85315,85,CASANARE,315,SÁCAMA,09/12/2020
85325,85,CASANARE,325,SAN LUIS DE PALENQUE,07/30/2020
85410,85,CASANARE,410,TAURAMENA,05/08/2020
85430,85,CASANARE,430,TRINIDAD,07/17/2020
85440,85,CASANARE,440,VILLANUEVA,05/04/2020
19001,19,CAUCA,001,POPAYÁN,03/09/2020
19050,19,CAUCA,050,ARGELIA,06/15/2020
19075,19,CAUCA,075,BALBOA,06/09/2020
19100,19,CAUCA,100,BOLÍVAR,08/04/2020
19110,19,CAUCA,110,BUENOS AIRES,05/05/2020
19130,19,CAUCA,130,CAJIBÍO,06/06/2020
19137,19,CAUCA,137,CALDONO,06/09/2020
19142,19,CAUCA,142,CALOTO,04/24/2020
19212,19,CAUCA,212,CORINTO,06/18/2020
19256,19,CAUCA,256,EL TAMBO,04/01/2020
19290,19,CAUCA,290,FLORENCIA,07/19/2020
19300,19,CAUCA,300,GUACHENÉ,03/28/2020
19318,19,CAUCA,318,GUAPÍ,05/25/2020
19355,19,CAUCA,355,INZÁ,07/22/2020
19364,19,CAUCA,364,JAMBALÓ,07/18/2020
19392,19,CAUCA,392,LA SIERRA,07/05/2020
19397,19,CAUCA,397,LA VEGA,08/02/2020
19418,19,CAUCA,418,LÓPEZ DE MICAY,04/20/2020
19450,19,CAUCA,450,MERCADERES,06/11/2020
19455,19,CAUCA,455,MIRANDA,03/25/2020
19473,19,CAUCA,473,MORALES,06/28/2020
19513,19,CAUCA,513,PADILLA,06/05/2020
19517,19,CAUCA,517,PÁEZ,07/09/2020
19532,19,CAUCA,532,PATÍA,05/17/2020
19533,19,CAUCA,533,PIAMONTE,08/22/2020
19548,19,CAUCA,548,PIENDAMÓ,04/20/2020
19573,19,CAUCA,573,PUERTO TEJADA,04/01/2020
19585,19,CAUCA,585,PURACÉ,07/28/2020
19622,19,CAUCA,622,ROSAS,06/22/2020
19698,19,CAUCA,698,SANTANDER DE QUILICHAO,03/21/2020
19701,19,CAUCA,701,SANTA ROSA,07/22/2020
19743,19,CAUCA,743,SILVIA,05/27/2020
19760,19,CAUCA,760,SOTARA,07/24/2020
19780,19,CAUCA,780,SUÁREZ,06/29/2020
19785,19,CAUCA,785,SUCRE,07/23/2020
19807,19,CAUCA,807,TIMBÍO,03/28/2020
19809,19,CAUCA,809,TIMBIQUÍ,05/01/2020
19821,19,CAUCA,821,TORIBÍO,07/10/2020
19824,19,CAUCA,824,TOTORÓ,04/30/2020
19845,19,CAUCA,845,VILLA RICA,04/18/2020
20001,20,CESAR,001,VALLEDUPAR,03/14/2020
20011,20,CESAR,011,AGUACHICA,04/05/2020
20013,20,CESAR,013,AGUSTÍN CODAZZI,04/08/2020
20032,20,CESAR,032,ASTREA,06/12/2020
20045,20,CESAR,045,BECERRIL,05/18/2020
20060,20,CESAR,060,BOSCONIA,04/11/2020
20175,20,CESAR,175,CHIMICHAGUA,06/08/2020
20178,20,CESAR,178,CHIRIGUANÁ,04/23/2020
20228,20,CESAR,228,CURUMANÍ,05/25/2020
20238,20,CESAR,238,EL COPEY,05/21/2020
20250,20,CESAR,250,EL PASO,05/12/2020
20295,20,CESAR,295,GAMARRA,06/05/2020
20310,20,CESAR,310,GONZÁLEZ,05/11/2020
20383,20,CESAR,383,LA GLORIA,06/04/2020
20400,20,CESAR,400,LA JAGUA DE IBIRICO,04/17/2020
20443,20,CESAR,443,MANAURE BALCÓN DEL CESAR,06/08/2020
20517,20,CESAR,517,PAILITAS,05/31/2020
20550,20,CESAR,550,PELAYA,05/31/2020
20570,20,CESAR,570,PUEBLO BELLO,05/25/2020
20614,20,CESAR,614,RÍO DE ORO,04/14/2020
20621,20,CESAR,621,LA PAZ,04/11/2020
20710,20,CESAR,710,SAN ALBERTO,06/05/2020
20750,20,CESAR,750,SAN DIEGO,03/19/2020
20770,20,CESAR,770,SAN MARTÍN,04/02/2020
20787,20,CESAR,787,TAMALAMEQUE,06/03/2020
27001,27,CHOCÓ,001,QUIBDÓ,03/23/2020
27006,27,CHOCÓ,006,ACANDÍ,06/22/2020
27025,27,CHOCÓ,025,ALTO BAUDÓ,05/26/2020
27050,27,CHOCÓ,050,ATRATO,05/01/2020
27073,27,CHOCÓ,073,BAGADÓ,05/12/2020
27075,27,CHOCÓ,075,BAHÍA SOLANO,05/02/2020
27077,27,CHOCÓ,077,BAJO BAUDÓ,06/13/2020
27099,27,CHOCÓ,099,BOJAYÁ,05/05/2020
27135,27,CHOCÓ,135,EL CANTÓN SAN PABLO,05/30/2020
27150,27,CHOCÓ,150,CARMEN DEL DARIÉN,06/25/2020
